x	y	z	t
0.525784	450.092	73.7072	0.057952
0.521579	449.323	73.574	0.111329
0.515191	448.514	73.4091	0.167001
0.50838	447.78	73.2428	0.217468
0.500131	447.016	73.0615	0.269758
0.487475	446.197	72.8592	0.325918
0.471783	445.388	72.6786	0.382252
0.44887	444.605	72.5024	0.437054
0.424864	443.786	72.3404	0.495029
0.392653	443.017	72.195	0.549604
0.351914	442.302	72.0782	0.600052
0.299466	441.514	71.9636	0.656118
0.252031	440.802	71.8656	0.707062
0.204099	440.036	71.7594	0.762733
0.127403	439.335	71.6599	0.813573
0.0800492	438.562	71.5471	0.869992
-0.0230983	437.812	71.4312	0.925996
-0.0953132	437.061	71.304	0.981838
-0.206784	436.291	71.1623	1.03932
-0.315608	435.545	71.0226	1.09442
-0.382557	434.769	70.8769	1.15093
-0.450798	433.979	70.7338	1.20854
-0.488021	433.253	70.6101	1.26096
-0.505611	432.509	70.4918	1.31526
-0.49738	431.728	70.3776	1.37073
-0.470682	430.937	70.2728	1.42677
-0.44303	430.17	70.1756	1.48122
-0.382191	429.43	70.0866	1.53456
-0.346989	428.694	70.0032	1.58797
-0.282927	427.975	69.9154	1.64139
-0.177998	427.231	69.8246	1.69787
-0.0816024	426.511	69.7256	1.75185
0.038348	425.795	69.6166	1.80645
0.140359	425.106	69.4966	1.85901
0.244494	424.429	69.3673	1.91091
0.390532	423.671	69.2107	1.96906
0.488106	422.95	69.0654	2.02286
0.603891	422.258	68.9265	2.07433
0.662868	421.506	68.7759	2.13013
0.716455	420.789	68.6423	2.18214
0.747482	420.087	68.5213	2.23282
0.756248	419.373	68.4092	2.28372
0.74591	418.628	68.3029	2.33652
0.722765	417.867	68.2114	2.39054
0.687783	417.16	68.1318	2.44087
0.633951	416.444	68.0536	2.49206
0.546582	415.726	67.9705	2.54387
0.488726	414.941	67.8729	2.60138
0.387499	414.204	67.7716	2.65714
0.298808	413.458	67.6592	2.71327
0.15874	412.806	67.5585	2.76411
0.0807906	412.096	67.4397	2.8193
-0.0250965	411.449	67.3242	2.87036
-0.133631	410.801	67.1992	2.92151
-0.281835	410.122	67.0622	2.9742
-0.364916	409.377	66.9045	3.03073
-0.449859	408.708	66.766	3.08116
-0.517747	408.029	66.632	3.13174
-0.580951	407.27	66.4902	3.18746
-0.603895	406.532	66.3651	3.24109
-0.607163	405.754	66.2424	3.29727
-0.59274	405.052	66.137	3.34769
-0.568413	404.303	66.0276	3.40153
-0.530044	403.593	65.9295	3.45274
-0.472131	402.881	65.8365	3.50407
-0.395535	402.097	65.74	3.56082
-0.302366	401.335	65.6475	3.61734
-0.216222	400.64	65.5557	3.66887
-0.0802612	399.912	65.4561	3.72432
-0.0124352	399.162	65.3512	3.78098
0.117184	398.437	65.2434	3.83664
0.191886	397.739	65.1331	3.89082
0.319026	397.041	65.0156	3.9453
0.400688	396.356	64.8926	3.99782
0.495627	395.659	64.768	4.04988
0.617804	394.906	64.6296	4.10555
0.675365	394.19	64.4915	4.15811
0.74614	393.459	64.3614	4.21114
0.807892	392.669	64.2295	4.26732
0.836058	391.948	64.1206	4.31852
0.846522	391.168	64.012	4.37383
0.832569	390.446	63.9192	4.42491
0.801331	389.706	63.8335	4.47736
0.757441	388.997	63.7497	4.52797
0.697297	388.279	63.6641	4.57933
0.627043	387.527	63.5717	4.63346
0.54029	386.777	63.4797	4.6884
0.454583	386.095	63.3871	4.73891
0.363809	385.359	63.28	4.79314
0.261262	384.677	63.1779	4.84437
0.149594	384.026	63.0767	4.89445
0.0159266	383.296	62.9544	4.95151
-0.0865103	382.609	62.8324	5.0038
-0.210244	381.876	62.6896	5.06051
-0.342086	381.153	62.5471	5.11558
-0.432109	380.477	62.4086	5.16627
-0.501333	379.707	62.2513	5.22315
-0.580247	378.945	62.1048	5.27924
-0.640954	378.187	61.9724	5.3351
-0.665167	377.479	61.856	5.38639
-0.672545	376.716	61.7431	5.44137
-0.662829	375.975	61.6438	5.49446
-0.642236	375.202	61.5521	5.54972
-0.588479	374.417	61.4599	5.60576
-0.544135	373.653	61.3825	5.66035
-0.471896	372.944	61.3106	5.71121
-0.372444	372.185	61.2311	5.76664
-0.288898	371.489	61.1579	5.81756
-0.218406	370.765	61.0805	5.87184
-0.108561	370.005	60.9884	5.92907
-0.00452927	369.33	60.8962	5.97976
0.091722	368.658	60.7954	6.03011
0.179361	367.97	60.6809	6.08226
0.296448	367.265	60.5518	6.1357
0.371252	366.522	60.4007	6.19146
0.446033	365.823	60.2552	6.24316
0.547927	365.058	60.0903	6.29931
0.624656	364.324	59.9407	6.35218
0.679562	363.605	59.7988	6.40387
0.722854	362.881	59.6651	6.45558
0.756423	362.164	59.5402	6.50703
0.760367	361.439	59.4244	6.55871
0.750375	360.654	59.3086	6.61513
0.726385	359.869	59.203	6.67173
0.68289	359.084	59.1072	6.72863
0.635033	358.389	59.0261	6.77896
0.566789	357.67	58.9436	6.83119
0.495993	356.944	58.8612	6.88448
0.395216	356.193	58.7798	6.93991
0.310134	355.53	58.7037	6.98994
0.213156	354.847	58.6208	7.0415
0.0692531	354.098	58.5222	7.09795
-0.00857274	353.427	58.4264	7.14884
-0.109833	352.76	58.3176	7.19948
-0.20194	352.044	58.1877	7.25418
-0.339273	351.385	58.0571	7.30453
-0.411569	350.646	57.8988	7.35979
-0.545537	349.882	57.7383	7.41664
-0.627402	349.139	57.5729	7.47162
-0.705932	348.451	57.4284	7.52169
-0.785116	347.701	57.2831	7.57606
-0.830457	346.909	57.1375	7.63307
-0.868584	346.166	57.0133	7.68689
-0.884812	345.43	56.9025	7.73973
-0.886765	344.692	56.8001	7.79269
-0.86289	343.923	56.7005	7.84805
-0.841096	343.157	56.613	7.90309
-0.7729	342.404	56.5243	7.95792
-0.718588	341.64	56.4388	8.01437
-0.640255	340.938	56.3551	8.06603
-0.541622	340.228	56.2724	8.11963
-0.402196	339.49	56.1757	8.17562
-0.289001	338.836	56.0867	8.22565
-0.199244	338.141	55.9848	8.279
-0.0643847	337.447	55.8709	8.33253
0.101207	336.749	55.7466	8.38647
0.207026	336.003	55.5976	8.44271
0.349357	335.307	55.4548	8.49539
0.449643	334.556	55.2936	8.5506
0.55602	333.807	55.1422	8.60523
0.660939	333.039	54.9903	8.66073
0.736254	332.279	54.8542	8.71519
0.78876	331.516	54.7247	8.76919
0.800119	330.789	54.6125	8.82077
0.79544	330.088	54.5131	8.87079
0.775632	329.383	54.4175	8.9211
0.743957	328.684	54.3265	8.97141
0.698024	327.966	54.2367	9.02311
0.623852	327.185	54.1439	9.07998
0.544673	326.45	54.0537	9.13372
0.451455	325.701	53.965	9.18859
0.364116	325.021	53.8798	9.23926
0.251082	324.34	53.7918	9.29092
0.146156	323.614	53.6926	9.34583
0.00546728	322.936	53.5924	9.39795
-0.0807635	322.245	53.4763	9.45046
-0.180223	321.546	53.3457	9.50435
-0.321771	320.803	53.1891	9.56156
-0.453541	320.054	53.0312	9.61788
-0.534946	319.293	52.8611	9.67413
-0.628354	318.542	52.6947	9.72943
-0.693999	317.823	52.5479	9.78109
-0.736769	317.066	52.4049	9.83557
-0.745162	316.289	52.2716	9.89094
-0.738695	315.5	52.153	9.94693
-0.71995	314.758	52.0582	9.99985
-0.686787	314.024	51.9733	10.0524
-0.609419	313.255	51.89	10.1083
