x	y	z	t	dist
0.503833	449.724	71.9895	0.0505654	-1
0.510225	448.909	71.8618	0.102194	13.6809
0.519914	448.075	71.7311	0.155109	12.8517
0.537576	447.195	71.5932	0.211117	11.9792
0.556732	446.379	71.4653	0.262717	11.1707
0.574473	445.526	71.3316	0.317098	10.3271
0.570699	444.692	71.2009	0.370434	9.50055
0.538509	443.86	71.0704	0.423509	8.67264
0.486521	443.025	70.9397	0.47718	7.8407
0.389834	442.168	70.8052	0.532705	6.97867
0.285448	441.338	70.6752	0.586154	6.14337
0.156748	440.558	70.5529	0.636479	5.35301
-0.0215058	439.736	70.4242	0.690621	4.51297
-0.192943	438.957	70.302	0.74185	3.71579
-0.378652	438.147	70.175	0.795534	2.88675
-0.611994	437.358	70.0515	0.848696	2.07591
-0.811974	436.586	69.9304	0.900725	1.29492
-0.99316	435.756	69.8003	0.955438	0.503435
-1.14233	434.971	69.6773	1.00696	0.468693
-1.29248	434.123	69.5444	1.06205	13.8104
-1.37982	433.263	69.4097	1.11713	12.9758
-1.43291	432.449	69.2821	1.16945	12.1837
-1.42924	431.62	69.1521	1.22248	11.3686
-1.38164	430.772	69.0191	1.27688	10.5283
-1.27598	429.978	68.8947	1.32817	9.72976
-1.13763	429.205	68.7736	1.37894	8.94555
-0.971048	428.34	68.638	1.43536	8.06508
-0.775387	427.584	68.5195	1.48549	7.28448
-0.492605	426.755	68.3896	1.54201	6.41496
-0.22907	426.006	68.2722	1.59341	5.62922
0.0492828	425.21	68.1475	1.6477	4.79744
0.322915	424.489	68.0345	1.69794	4.04568
0.642698	423.732	67.9158	1.75074	3.26405
0.876215	422.953	67.7937	1.80305	2.48234
1.14029	422.148	67.6676	1.85801	1.71052
1.32263	421.334	67.5399	1.91182	1.00793
1.48398	420.461	67.4032	1.96845	0.684059
1.5854	419.613	67.2702	2.02295	14.1624
1.66223	418.723	67.1306	2.07973	13.2996
1.68691	417.9	67.0017	2.13175	12.4968
1.67447	417.038	66.8666	2.18653	11.6508
1.6137	416.183	66.7326	2.24125	10.8029
1.52698	415.32	66.5974	2.29644	9.94356
1.37237	414.514	66.4711	2.34903	9.12369
1.22055	413.715	66.3459	2.40146	8.3118
1.02433	412.906	66.219	2.45533	7.47891
0.760033	412.131	66.0975	2.50863	6.66334
0.496894	411.343	65.974	2.5631	5.83605
0.231102	410.576	65.8538	2.61678	5.02965
-0.10844	409.81	65.7337	2.67176	4.21381
-0.412327	409.016	65.6093	2.72822	3.38546
-0.744328	408.222	65.4848	2.7846	2.56948
-1.02343	407.441	65.3625	2.83838	1.80223
-1.20046	406.667	65.2411	2.89007	1.08997
-1.35609	405.873	65.1167	2.94239	0.598057
-1.45515	405.027	64.9841	2.99679	0.90617
-1.50777	404.218	64.8573	3.04854	13.5818
-1.50539	403.372	64.7247	3.10237	12.7484
-1.45754	402.533	64.5933	3.15597	11.9155
-1.35009	401.712	64.4646	3.20883	11.089
-1.21267	400.888	64.3354	3.26252	10.2535
-1.05354	400.086	64.2097	3.31533	9.43586
-0.839838	399.327	64.0908	3.36677	8.65023
-0.587859	398.606	63.9777	3.41718	7.89522
-0.3036	397.893	63.8659	3.46826	7.14468
0.059116	397.158	63.7508	3.52223	6.36762
0.360993	396.442	63.6386	3.57402	5.62589
0.672683	395.724	63.526	3.62562	4.89164
0.945676	394.971	63.4081	3.67754	4.14001
1.2411	394.207	63.2884	3.72984	3.40255
1.44751	393.341	63.1526	3.78748	2.59
1.59968	392.563	63.0306	3.83838	1.90514
1.72781	391.706	62.8962	3.89359	1.27321
1.78247	390.888	62.7681	3.94586	0.983989
1.78927	390.017	62.6316	4.00141	1.28269
1.74397	389.168	62.4986	4.05575	13.3973
1.63658	388.315	62.3649	4.11048	12.5398
1.50639	387.43	62.2261	4.16727	11.6456
1.30266	386.623	62.0996	4.21975	10.8148
1.08656	385.817	61.9733	4.27388	9.98223
0.83104	385.08	61.8578	4.32402	9.21084
0.546781	384.292	61.7342	4.37898	8.38586
0.19036	383.549	61.6178	4.43274	7.59884
-0.108461	382.774	61.4964	4.48747	6.79471
-0.48566	381.991	61.3736	4.54371	5.98434
-0.761749	381.248	61.2572	4.59552	5.23339
