x	y	z	t
0.474965	449.987	73.6115	0.0505654
0.457672	449.152	73.4301	0.102194
0.439743	448.305	73.2522	0.155109
0.415597	447.41	73.0599	0.211117
0.392641	446.583	72.892	0.262717
0.367151	445.721	72.7254	0.317098
0.336925	444.88	72.5712	0.370434
0.295693	444.044	72.425	0.423509
0.252098	443.208	72.2914	0.47718
0.189201	442.348	72.1642	0.532705
0.13234	441.514	72.0447	0.586154
0.0671793	440.73	71.9336	0.636479
-0.0324742	439.905	71.8142	0.690621
-0.0928209	439.121	71.6959	0.74185
-0.176493	438.308	71.5602	0.795534
-0.304798	437.517	71.4132	0.848696
-0.401119	436.743	71.2567	0.900725
-0.475575	435.911	71.0727	0.955438
-0.555922	435.126	70.9065	1.00696
-0.640631	434.283	70.7311	1.06205
-0.682692	433.429	70.5734	1.11713
-0.704703	432.617	70.4366	1.16945
-0.684524	431.784	70.3119	1.22248
-0.647933	430.93	70.1982	1.27688
-0.572091	430.126	70.1056	1.32817
-0.481412	429.344	70.0219	1.37894
-0.403996	428.467	69.9332	1.43536
-0.309253	427.702	69.8503	1.48549
-0.174035	426.865	69.756	1.54201
-0.051704	426.107	69.6595	1.59341
0.0793584	425.302	69.5429	1.6477
0.20658	424.575	69.4233	1.69794
0.380456	423.816	69.2824	1.75074
0.46273	423.04	69.1178	1.80305
0.62592	422.239	68.9446	1.85801
0.715308	421.429	68.7577	1.91182
0.816137	420.56	68.5782	1.96845
0.864859	419.714	68.4111	2.02295
0.914794	418.829	68.2579	2.07973
0.919299	418.014	68.1292	2.13175
0.905063	417.16	68.0062	2.18653
0.859411	416.312	67.8922	2.24125
0.809737	415.457	67.7893	2.29644
0.705245	414.654	67.6946	2.34903
0.639447	413.858	67.6072	2.40146
0.538328	413.049	67.5083	2.45533
0.389322	412.275	67.4088	2.50863
0.291624	411.485	67.3008	2.5631
0.181748	410.718	67.1779	2.61678
0.0382828	409.954	67.037	2.67176
-0.100886	409.162	66.8822	2.72822
-0.2563	408.373	66.7136	2.7846
-0.419525	407.597	66.5563	2.83838
-0.508542	406.829	66.402	2.89007
-0.592418	406.041	66.2452	2.94239
-0.657172	405.198	66.095	2.99679
-0.699003	404.39	65.9682	3.04854
-0.705095	403.536	65.8531	3.10237
-0.687262	402.688	65.7496	3.15597
-0.625043	401.857	65.6562	3.20883
-0.57208	401.018	65.5757	3.26252
-0.511061	400.204	65.4879	3.31533
-0.414469	399.435	65.402	3.36677
-0.296976	398.704	65.3157	3.41718
-0.163921	397.981	65.2212	3.46826
-1.07624e-005	397.24	65.1099	3.52223
0.131574	396.524	64.9843	3.57402
0.271498	395.811	64.8423	3.62562
0.390457	395.07	64.6841	3.67754
0.563536	394.319	64.5182	3.72984
