x	y	z	t	dist
0.5	420.616	67.4274	3.00683	-1
0.593868	420.175	67.3583	3.06171	-1
0.6195	419.697	67.2834	3.11273	-1
0.643976	419.227	67.2097	3.16286	13.6509
0.666689	418.723	67.1307	3.21652	13.1518
0.685983	418.255	67.0573	3.26673	12.689
0.707206	417.73	66.9751	3.32234	12.1707
0.720773	417.238	66.8979	3.37507	11.6843
0.733083	416.709	66.815	3.43153	11.1618
0.736388	416.223	66.7389	3.4832	10.6811
0.732371	415.717	66.6597	3.53722	10.1806
0.717435	415.234	66.5839	3.58865	9.70069
0.696962	414.718	66.5031	3.64375	9.18831
0.667477	414.227	66.426	3.69519	8.69886
0.628514	413.726	66.3475	3.74896	8.19853
0.591989	413.197	66.2646	3.80577	7.67126
0.550964	412.724	66.1905	3.85663	7.19882
0.509393	412.252	66.1165	3.90736	6.72795
0.456357	411.755	66.0386	3.96125	6.23025
0.409727	411.24	65.9578	4.01666	5.71626
0.355941	410.712	65.8752	4.07332	5.18973
0.311494	410.235	65.8003	4.12439	4.71459
0.261103	409.707	65.7177	4.18102	4.19103
0.22212	409.191	65.6367	4.23639	3.6828
0.175138	408.665	65.5543	4.29308	3.166
0.135335	408.191	65.4801	4.34374	2.70526
0.0968573	407.719	65.406	4.39463	2.25202
0.0534537	407.203	65.3251	4.45035	1.76918
0.0186663	406.693	65.2453	4.50487	1.32383
-0.02466	406.184	65.1654	4.55951	0.939693
-0.0605226	405.658	65.0829	4.61582	0.739492
-0.103172	405.154	65.004	4.66992	-1
-0.134023	404.682	64.9301	4.72019	13.88
-0.174699	404.142	64.8454	4.77811	13.3441
-0.214347	403.653	64.7687	4.83089	12.859
-0.260216	403.095	64.6813	4.89001	12.3071
-0.299389	402.557	64.597	4.94765	11.7745
-0.336432	402.086	64.5231	4.99798	11.3093
-0.370008	401.566	64.4416	5.05367	10.7957
-0.399638	401.056	64.3618	5.10822	10.2926
-0.427904	400.587	64.2882	5.15836	9.83032
-0.454866	400.101	64.2121	5.21007	9.35233
-0.484642	399.599	64.1333	5.26395	8.85872
-0.511809	399.1	64.0552	5.31746	8.36995
-0.540302	398.62	63.9799	5.36936	7.90065
-0.559353	398.119	63.9014	5.42302	7.4108
-0.575837	397.614	63.8223	5.47701	6.91858
-0.589224	397.112	63.7436	5.53129	6.43024
-0.590377	396.621	63.6667	5.58388	5.95247
-0.580344	396.14	63.5913	5.63546	5.48329
-0.554529	395.636	63.5123	5.68948	4.98994
-0.515084	395.136	63.4339	5.74326	4.49864
-0.470785	394.63	63.3546	5.79766	4.00317
-0.394574	394.152	63.2797	5.84919	3.52689
-0.323032	393.611	63.1949	5.90749	2.99614
-0.240618	393.144	63.1217	5.95874	2.53393
-0.122042	392.65	63.0442	6.01289	2.03673
-0.0180646	392.164	62.9681	6.06607	1.56167
0.101999	391.704	62.8959	6.11735	1.11532
0.251288	391.194	62.8161	6.17486	0.65671
0.391037	390.704	62.7393	6.2303	-1
0.517621	390.202	62.6606	6.28653	14.2486
0.659236	389.692	62.5806	6.34369	13.7549
0.776067	389.229	62.508	6.39508	13.3078
0.904463	388.727	62.4293	6.45121	12.8257
1.0103	388.216	62.3493	6.50759	12.3346
1.12287	387.744	62.2754	6.55929	11.8864
1.21489	387.261	62.1996	6.6121	11.4253
1.28971	386.789	62.1256	6.66318	10.9749
1.3407	386.323	62.0526	6.71345	10.5284
1.37959	385.806	61.9716	6.7689	10.0308
1.40693	385.324	61.8961	6.82021	9.56755
1.41279	384.85	61.8217	6.87074	9.10815
1.40135	384.322	61.739	6.92702	8.59386
1.36368	383.818	61.66	6.98181	8.09793
1.31833	383.327	61.5831	7.03519	7.61306
1.24289	382.822	61.5039	7.09005	7.10748
1.16711	382.303	61.4225	7.14659	6.58853
1.06572	381.81	61.3453	7.20071	6.08806
0.975028	381.296	61.2647	7.25689	5.57159
0.853017	380.805	61.1878	7.31179	5.06793
0.744794	380.306	61.1096	7.36702	4.56136
0.620925	379.817	61.033	7.4215	4.05953
0.510731	379.352	60.96	7.47292	3.58531
0.412587	378.865	60.8837	7.52666	3.09775
0.289052	378.359	60.8044	7.58282	2.58472
0.198869	377.865	60.727	7.63696	2.10284
0.103798	377.397	60.6537	7.68833	1.65197
0.00605646	376.901	60.5759	7.74273	1.19799
-0.0661594	376.412	60.4993	7.79594	0.834753
-0.134578	375.92	60.4222	7.84973	-1
-0.175419	375.439	60.3467	7.90168	14.2766
-0.201305	374.951	60.2703	7.95412	13.7918
-0.214756	374.443	60.1907	8.00841	13.2867
-0.208487	373.94	60.1119	8.06243	12.7849
-0.185255	373.452	60.0354	8.1149	12.2962
-0.141421	372.969	59.9597	8.16696	11.8115
-0.0718722	372.449	59.8781	8.2232	11.2868
-0.000518687	371.942	59.7986	8.27813	10.7762
0.100602	371.439	59.7198	8.3333	10.267
0.205004	370.956	59.6441	8.3868	9.77856
0.338785	370.475	59.5687	8.44093	9.29063
0.448983	369.993	59.4932	8.49456	8.80476
0.579659	369.498	59.4156	8.54992	8.30529
0.690114	369.032	59.3426	8.6021	7.83753
0.800076	368.564	59.2693	8.65468	7.3689
