x	y	z	t
0.539136	421.005	69.1752	3.00683
0.598655	420.628	69.1074	3.06171
0.593755	420.153	69.0325	3.11273
0.58687	419.687	68.9588	3.16286
0.577966	419.185	68.8787	3.21652
0.566697	418.72	68.8037	3.26673
0.55449	418.198	68.7193	3.32234
0.542089	417.709	68.6405	3.37507
0.530186	417.182	68.5555	3.43153
0.521433	416.698	68.4781	3.4832
0.513173	416.194	68.3987	3.53722
0.500836	415.711	68.3235	3.58865
0.492399	415.195	68.2444	3.64375
0.478048	414.705	68.1703	3.69519
0.458663	414.204	68.0947	3.74896
0.447956	413.676	68.016	3.80577
0.42981	413.202	67.9444	3.85663
0.410493	412.73	67.8729	3.90736
0.378601	412.231	67.7974	3.96125
0.355896	411.713	67.719	4.01666
0.322864	411.184	67.638	4.07332
0.293237	410.704	67.5635	4.12439
0.253626	410.173	67.4803	4.18102
0.222959	409.651	67.3982	4.23639
0.181049	409.12	67.3143	4.29308
0.143391	408.643	67.2387	4.34374
0.106194	408.166	67.1632	4.39463
0.0625117	407.647	67.0812	4.45035
0.0269541	407.135	67.0002	4.50487
-0.0167191	406.624	66.9201	4.55951
-0.0525029	406.097	66.8376	4.61582
-0.0940208	405.593	66.7592	4.66992
-0.122355	405.12	66.6861	4.72019
-0.158009	404.578	66.6021	4.77811
-0.191821	404.088	66.5256	4.83089
-0.228514	403.53	66.4381	4.89001
-0.255354	402.99	66.3535	4.94765
-0.280079	402.521	66.2786	4.99798
-0.297491	402	66.1957	5.05367
-0.313285	401.488	66.1139	5.10822
-0.327385	401.016	66.0372	5.15836
-0.338057	400.527	65.9565	5.21007
-0.344325	400.021	65.872	5.26395
-0.34844	399.522	65.788	5.31746
-0.35211	399.042	65.7061	5.36936
-0.340394	398.544	65.6193	5.42302
-0.329898	398.043	65.5328	5.47701
-0.31857	397.544	65.4454	5.53129
-0.297918	397.057	65.3572	5.58388
-0.276482	396.58	65.2738	5.63546
-0.246853	396.08	65.1891	5.68948
-0.213235	395.584	65.1081	5.74326
-0.181376	395.082	65.0307	5.79766
-0.12318	394.608	64.9599	5.84919
-0.0802797	394.074	64.8832	5.90749
-0.0287528	393.613	64.8177	5.95874
0.0435868	393.127	64.7507	6.01289
0.101572	392.647	64.6833	6.06607
0.169708	392.193	64.6179	6.11735
0.251641	391.688	64.5454	6.17486
0.33372	391.203	64.4709	6.2303
0.39432	390.709	64.3915	6.28653
0.473563	390.203	64.3074	6.34369
0.539857	389.742	64.2263	6.39508
0.6173	389.238	64.136	6.45121
0.662811	388.723	64.0424	6.50759
0.730178	388.249	63.9556	6.55929
0.785192	387.761	63.8659	6.6121
0.826251	387.285	63.7759	6.66318
0.859055	386.816	63.6925	6.71345
0.890525	386.293	63.6047	6.7689
0.916136	385.808	63.5265	6.82021
0.927753	385.327	63.4526	6.87074
0.935883	384.793	63.3731	6.92702
0.924871	384.283	63.302	6.98181
0.921159	383.781	63.2398	7.03519
0.888519	383.268	63.1737	7.09005
0.870123	382.736	63.1091	7.14659
0.821343	382.232	63.0462	7.20071
0.799608	381.701	62.9802	7.25689
0.73808	381.194	62.9096	7.31179
0.70439	380.673	62.8303	7.36702
0.640441	380.169	62.7468	7.4215
0.600384	379.694	62.6682	7.47292
0.55754	379.201	62.5857	7.52666
0.495462	378.687	62.4961	7.58282
0.454747	378.186	62.4067	7.63696
0.40769	377.713	62.3195	7.68833
0.353932	377.213	62.2287	7.74273
0.326885	376.724	62.1381	7.79594
0.289546	376.234	62.0513	7.84973
0.272644	375.757	61.9685	7.90168
0.265393	375.275	61.8869	7.95412
0.260167	374.772	61.8055	8.00841
0.263532	374.274	61.7282	8.06243
