x	y	z	t
0.432742	449.974	73.7004	0.0562003
0.436522	449.295	73.5979	0.108814
0.440956	448.608	73.4948	0.162055
0.44418	447.961	73.3976	0.212409
0.447257	447.265	73.292	0.266151
0.451039	446.613	73.192	0.316617
0.45573	445.918	73.0841	0.370628
0.459349	445.22	72.9749	0.424553
0.46345	444.506	72.8637	0.479605
0.466676	443.853	72.7626	0.529756
0.469851	443.138	72.652	0.584627
0.473336	442.439	72.5438	0.638388
0.477069	441.718	72.432	0.693647
0.480344	440.989	72.3186	0.749366
0.48296	440.296	72.2102	0.802427
0.48556	439.6	72.1011	0.855658
0.489474	438.869	71.9869	0.911342
0.49235	438.154	71.8754	0.965931
0.49554	437.491	71.7722	1.01668
0.499128	436.787	71.6615	1.07045
0.501111	436.051	71.5447	1.12648
0.505648	435.356	71.4338	1.17961
0.510135	434.684	71.3275	1.23082
0.514578	433.973	71.2153	1.2851
0.52277	433.3	71.1084	1.3363
0.537103	432.611	70.999	1.38899
0.550517	431.897	70.8868	1.44337
0.568585	431.186	70.7758	1.49758
0.585402	430.513	70.6726	1.5491
0.600489	429.849	70.5717	1.59995
0.614068	429.145	70.4644	1.65363
0.636053	428.446	70.3571	1.70703
0.647255	427.753	70.2499	1.75995
0.66465	427.044	70.1395	1.81437
0.69416	426.364	70.0331	1.86639
0.705187	425.626	69.9173	1.92216
0.731894	424.904	69.8033	1.97726
0.747897	424.227	69.6947	2.02882
0.760198	423.524	69.5789	2.08205
0.776951	422.861	69.4679	2.1323
0.802941	422.127	69.3434	2.18806
0.813547	421.439	69.2228	2.23975
0.827799	420.768	69.1081	2.29093
0.840683	420.033	68.9847	2.34671
0.840498	419.323	68.8635	2.40026
0.843282	418.646	68.7483	2.45149
0.841062	417.959	68.631	2.50366
0.834814	417.241	68.5081	2.55838
0.811261	416.551	68.3889	2.61053
0.786068	415.817	68.265	2.66626
0.749945	415.099	68.1424	2.7209
0.702069	414.39	68.0242	2.77496
0.656112	413.677	67.9069	2.82929
0.602533	413.017	67.8033	2.87964
0.547293	412.297	67.6951	2.93491
0.475238	411.584	67.5939	2.98979
0.419303	410.907	67.4981	3.04207
0.357522	410.249	67.4054	3.09311
0.270195	409.559	67.3072	3.14728
0.219823	408.858	67.2082	3.2016
0.151225	408.216	67.1152	3.25175
0.055513	407.531	67.0118	3.30604
-0.0124889	406.87	66.9073	3.35777
-0.088818	406.226	66.8018	3.40838
-0.161552	405.549	66.6858	3.46214
-0.257011	404.858	66.5653	3.51697
-0.319252	404.19	66.4418	3.56984
-0.401204	403.541	66.3195	3.62074
-0.469333	402.885	66.1923	3.67227
-0.559138	402.186	66.0566	3.72707
-0.612763	401.531	65.9289	3.77817
-0.656097	400.839	65.795	3.83177
-0.693457	400.162	65.6724	3.88414
-0.720228	399.501	65.5556	3.93524
-0.74252	398.841	65.4421	3.98617
-0.744672	398.176	65.3311	4.03749
-0.734112	397.49	65.2217	4.09046
-0.714782	396.816	65.1208	4.14241
-0.683497	396.135	65.0242	4.19489
-0.626959	395.437	64.9318	4.24849
-0.570938	394.716	64.8442	4.30418
-0.49168	394.022	64.7593	4.35876
-0.413829	393.375	64.6832	4.40972
-0.347816	392.678	64.6047	4.46412
-0.268619	392.031	64.5268	4.51512
-0.163989	391.332	64.4386	4.571
-0.0687365	390.65	64.341	4.62585
0.055555	389.968	64.2291	4.68079
0.176458	389.289	64.1033	4.73594
0.236406	388.651	63.9735	4.78667
0.352675	387.979	63.8234	4.84199
0.445297	387.309	63.6824	4.89582
0.559064	386.671	63.551	4.94748
0.635561	386.035	63.424	4.99828
0.666794	385.363	63.291	5.05059
0.711129	384.667	63.1619	5.10488
0.753844	383.991	63.041	5.15737
0.761366	383.309	62.9228	5.21016
0.763007	382.619	62.8106	5.26381
0.755068	381.923	62.7021	5.31771
0.732067	381.255	62.6011	5.36975
0.697679	380.56	62.5022	5.42398
0.640949	379.864	62.4089	5.47825
0.58772	379.16	62.3249	5.53338
0.522093	378.508	62.2491	5.58492
0.422793	377.811	62.1752	5.64039
0.337377	377.129	62.0977	5.69491
0.2257	376.503	62.0272	5.74633
0.135823	375.864	61.9499	5.79894
0.0740271	375.237	61.8654	5.85077
-0.0355388	374.616	61.7633	5.9022
-0.131075	374.005	61.6496	5.95344
-0.263556	373.346	61.5177	6.00965
-0.329629	372.73	61.3815	6.06022
-0.419116	372.043	61.2391	6.11583
-0.52919	371.395	61.1048	6.16873
-0.594303	370.748	60.9744	6.22045
-0.649669	370.054	60.8386	6.27548
-0.706279	369.377	60.7177	6.32839
-0.724475	368.725	60.6078	6.37899
-0.72486	368.028	60.4959	6.43313
-0.714892	367.381	60.3975	6.48319
-0.69201	366.715	60.3009	6.5347
-0.657212	366.063	60.2137	6.58518
-0.595331	365.39	60.1318	6.63722
-0.541964	364.685	60.0584	6.69168
-0.47936	363.951	59.9754	6.7485
-0.386859	363.266	59.9008	6.80268
-0.288637	362.629	59.8212	6.85344
-0.158139	361.953	59.7226	6.90777
-0.0617415	361.338	59.6182	6.95799
0.0377859	360.719	59.4981	7.00902
0.152758	360.112	59.3696	7.05997
0.233921	359.45	59.2204	7.11557
0.338899	358.852	59.0935	7.16626
0.450776	358.192	58.959	7.22132
0.52722	357.557	58.8372	7.27239
0.592502	356.893	58.7125	7.32486
0.646106	356.22	58.5891	7.37724
0.693185	355.507	58.4622	7.43251
0.714907	354.826	58.3509	7.48473
0.721995	354.114	58.2428	7.53989
0.714498	353.44	58.1511	7.59254
0.690132	352.771	58.0651	7.64459
0.638421	352.095	57.9832	7.69746
0.596727	351.397	57.9088	7.75206
0.53945	350.737	57.8369	7.80443
0.434334	350.071	57.7652	7.85792
0.371353	349.409	57.6961	7.91132
0.296992	348.781	57.6197	7.96218
0.211689	348.148	57.5352	8.01469
0.0821136	347.539	57.4444	8.06686
-0.00999865	346.904	57.3397	8.11907
-0.0693741	346.225	57.2151	8.17494
-0.1951	345.597	57.095	8.22801
-0.284003	344.983	56.9719	8.2789
-0.359932	344.353	56.8444	8.33024
-0.41927	343.672	56.7051	8.38446
-0.487003	343.04	56.581	8.43488
-0.557345	342.369	56.4541	8.48776
-0.596232	341.694	56.3303	8.54016
-0.616818	340.978	56.2033	8.59521
-0.62837	340.299	56.0939	8.64738
-0.619183	339.62	55.993	8.69979
-0.594397	338.931	55.9016	8.75327
-0.556645	338.278	55.8198	8.80404
-0.506928	337.635	55.7445	8.85425
-0.427568	336.935	55.6648	8.90951
-0.369572	336.272	55.5997	8.96191
-0.306499	335.633	55.5325	9.01303
-0.205258	334.963	55.4582	9.06785
-0.142162	334.309	55.3844	9.12128
-0.0608002	333.663	55.2964	9.17459
0.029763	333.059	55.2029	9.22485
0.166029	332.436	55.0959	9.27816
0.259786	331.75	54.9625	9.33561
0.378298	331.134	54.8366	9.38705
0.46774	330.482	54.7065	9.44073
0.530686	329.805	54.5733	9.49548
0.610158	329.123	54.4499	9.55003
0.648315	328.408	54.3244	9.60644
0.697057	327.699	54.2056	9.66194
0.724697	326.981	54.0885	9.71739
0.732563	326.311	53.9829	9.76882
0.727931	325.623	53.88	9.82196
0.712633	324.974	53.7875	9.87228
0.675611	324.244	53.6885	9.92882
0.643578	323.565	53.6097	9.98153
0.602035	322.85	53.5266	10.0374
0.520252	322.177	53.4537	10.0912
0.465852	321.532	53.3939	10.1433
0.36915	320.837	53.3188	10.1993
0.293983	320.196	53.2485	10.2516
0.240169	319.522	53.1721	10.3064
0.173071	318.903	53.0915	10.3565
0.0724071	318.232	52.9954	10.4119
-0.00349838	317.553	52.8879	10.4665
-0.0992949	316.88	52.7765	10.5207
-0.162448	316.237	52.6644	10.5719
-0.226686	315.542	52.5446	10.6266
-0.306254	314.886	52.4297	10.6785
-0.355355	314.22	52.3143	10.7304
-0.404405	313.56	52.2019	10.7818
-0.446053	312.855	52.0833	10.8361
-0.489004	312.194	51.9759	10.8873
-0.528872	311.485	51.8634	10.9418
-0.554945	310.813	51.7592	10.9936
-0.577491	310.11	51.652	11.0477
-0.587963	309.462	51.5549	11.098
-0.588761	308.779	51.4535	11.1509
-0.578392	308.088	51.3528	11.2043
-0.566023	307.428	51.2572	11.2552
-0.548894	306.782	51.1653	11.3053
-0.525976	306.135	51.073	11.3554
-0.473581	305.44	50.9727	11.4092
-0.432053	304.775	50.8793	11.4611
-0.398965	304.112	50.792	11.5127
-0.36236	303.443	50.7034	11.5648
-0.316628	302.795	50.6169	11.6152
-0.265967	302.139	50.5253	11.6668
-0.193239	301.484	50.4279	11.7186
-0.145775	300.791	50.3177	11.7734
-0.0958891	300.115	50.2058	11.8261
-0.0487194	299.464	50.0957	11.8771
0.0299192	298.772	49.9788	11.9312
0.0760387	298.044	49.8559	11.9872
0.138622	297.368	49.745	12.0391
0.186229	296.657	49.6315	12.0938
0.23786	296.005	49.5289	12.1439
0.282413	295.337	49.4236	12.1953
0.333642	294.632	49.3128	12.2491
0.376695	293.888	49.198	12.3061
0.415593	293.194	49.0926	12.3592
0.45729	292.518	48.992	12.4109
0.493317	291.804	48.8859	12.4658
0.527538	291.127	48.7828	12.5181
0.558224	290.409	48.6705	12.5733
0.586525	289.683	48.5549	12.6289
0.606336	289.003	48.4464	12.6814
0.620803	288.282	48.3323	12.7365
0.632603	287.613	48.2275	12.7879
0.64168	286.955	48.1255	12.8384
0.652977	286.26	48.0173	12.8923
0.659432	285.53	47.903	12.9484
0.66862	284.824	47.7921	13.0029
0.677379	284.153	47.6865	13.0548
0.687887	283.495	47.584	13.1059
0.701157	282.816	47.4792	13.1586
0.717004	282.145	47.3759	13.2105
0.735253	281.468	47.2721	13.263
0.753636	280.752	47.1619	13.3182
0.772768	280.094	47.0608	13.369
0.794337	279.394	46.9543	13.4229
0.812757	278.735	46.8525	13.4741
0.832019	278.029	46.7429	13.5284
0.849868	277.335	46.6346	13.5816
0.866762	276.678	46.5314	13.6322
0.882357	276.022	46.4289	13.6827
0.897887	275.362	46.3268	13.7335
0.910951	274.697	46.2247	13.7847
0.926255	274.007	46.1179	13.8377
0.949918	273.339	46.0107	13.8889
0.975524	272.647	45.894	13.9415
1.00101	271.931	45.7613	13.9956
1.01977	271.237	45.6282	14.0482
1.03014	270.561	45.495	14.0996
1.02379	269.878	45.3617	14.1514
1.00326	269.218	45.234	14.2019
0.973122	268.558	45.1074	14.2523
0.920831	267.878	44.9749	14.3038
0.863241	267.163	44.8468	14.3582
0.782306	266.416	44.7197	14.4144
0.695631	265.676	44.6043	14.4705
0.614667	264.988	44.5042	14.5229
0.530636	264.303	44.4146	14.5753
0.450399	263.643	44.3298	14.6262
0.369156	262.995	44.2477	14.6765
0.254739	262.294	44.1553	14.731
0.166387	261.648	44.0662	14.782
0.0973596	260.948	43.961	14.8371
-0.0253137	260.277	43.8534	14.8914
